1,1,40.106,642675,13875.46
2,1,38.7067,201715,25862.82
3,1,49.58,358193,24094.16
4,1,48.8669,1.4e+06,15704.21
5,1,58.2398,318850,22498.22
6,1,49.9464,245758,21600.04
7,1,41.5318,946745,17819.65
8,1,44.192,199130,14258.09
9,1.4,51.3644,928560,21468.36
10,2,46.7449,346575,9705.29
11,2,49.011,377865,20110.5
12,2,48.0253,3.0e+07,16392.8
13,2,43.7738,479894,16015.98
14,2,51.5767,9.7e+06,10378.44
15,2,45.522,228525,14333.29
16,2,45.0376,351754,15690.04
17,2.45,47.0826,515203,16042
18,3,48.9819,2.4e+07,13766.64
19,3,50.5856,467774,10881.49
20,3,55.8016,414081,12789.34
21,3,51.6221,548755,11507.66
22,3,52.0868,1.0e+06,10452.65
23,4,70.0752,601830,18318.67
24,4,48.9303,356738,11929.01
25,4,54.9234,748388,8340.97
26,4,49.4919,3.2e+06,8246.93
27,4.2,57.6223,826591,14142.89
28,5,55.5455,2.5e+06,10922.26
29,5,53.6586,507830,13191.14
30,5,50.1384,1.1e+06,8378.52
31,5,54.5397,861163,12175.13
32,5.45,57.0902,984090,8664.37
33,6,56.0447,845181,11515.24
34,6,54.3784,1.8e+06,6345.81
35,6,60.5498,1.3e+06,10492.12
36,6.6,52.5735,863700,7016.77
37,7,50.8886,1.1e+06,6689.99
38,7,56.5025,1.3e+06,5344.16
39,7.6,53.4115,783675,8641.91
40,8,60.5609,1.5e+06,6741.87
41,8,50.8932,5.9e+06,7072.3
42,8.05,65.289,1.5e+06,7527.75
43,9,56.3505,1.6e+06,6382.4
44,9,54.2559,1.0e+06,7931.75
45,9,60.3684,2.0e+06,3382.71
46,9.75,59.3653,1.1e+06,6283.9
47,10,56.1251,7.9e+06,5048.39
48,10,57.6398,1.2e+06,5479.82
49,11,52.7326,4.8e+06,4464.13
50,11,54.9091,1.2e+06,4026.44
51,11.85,70.9628,4.5e+06,5102.32
52,12,52.366,1.3e+06,3376.22
53,12.15,54.7995,2.0e+06,2563.41
54,13,61.6109,1.7e+06,3811.22
55,13,54.9168,1.5e+06,4241.58
56,13.9,57.8151,1.8e+06,3514.3
57,14,63.7517,4.9e+07,4168.65
58,14.2,57.3654,2.1e+06,3299.56
59,15,59.443,4.0e+06,4335.69
60,15.1,63.1529,3.2e+06,3166.82
61,16,47.9928,1.3e+06,2632.14
62,16.05,55.93,2.2e+06,3219.87
63,17,67.1632,3.6e+06,4314.48
64,17,53.8191,2.1e+06,1877.04
65,17.7,62.3629,4.0e+06,3201.25
66,18,52.5258,2.7e+06,2283.17
67,18.45,56.1918,2.1e+06,1872.67
68,19,53.6817,2.9e+06,1996.43
69,19.25,57.4808,6.3e+06,2526.6
70,20,56.3408,3.6e+06,1836.55
71,20.25,60.3107,3.2e+06,2076.59
72,21,58.9698,6.0e+06,3125.25
73,21,55.0638,2.2e+06,1487.54
74,22,63.308,3.2e+06,2723.59
75,22.25,52.0703,2.3e+06,1493.1
76,23,58.2703,2.6e+06,1618.56
77,23.3,58.4761,3.5e+06,1776.33
78,24,58.6056,3.8e+06,2183.14
79,24.85,55.2027,5.0e+06,1545.7
80,25.55,57.682,4.1e+06,2025.62
81,26,56.9545,5.2e+06,1599.26
82,26.9,58.9011,3.8e+06,2600.73
83,27.6,55.6582,3.0e+06,1866.02
84,28,60.5304,6.0e+06,3090.01
85,29,56.7645,8.3e+06,1892.52
86,29.4,57.6223,1.3e+07,1437.67
87,30.05,62.15,8.0e+06,1333.28
88,31,61.3469,3.9e+06,1923.87
89,31.85,61.7004,5.5e+06,1652.55
90,32.9,61.5913,5.2e+06,1710.63
91,33.9,64.6495,4.6e+06,2040.95
92,35.3,58.342,5.1e+06,1334.6
93,36.5,61.4686,7.2e+06,1637.57
94,37.85,54.7438,4.1e+06,1316.76
95,39.75,55.9045,5.0e+06,1045.83
96,41.45,63.1399,6.2e+06,1590.26
97,43.35,56.8468,3.7e+06,686.1799
98,44.75,61.284,1.1e+07,1607.53
99,45.8,72.2817,6.5e+06,1960.24
100,46.85,58.219,7.6e+06,838.67
101,48.5,61.7525,1.1e+07,1313.77
102,49.45,66.5912,6.3e+06,1262.88
103,50.55,65.008,7.9e+06,1254.42
104,51.4,61.3016,7.8e+06,1041.49
105,53.15,65.8808,4.9e+06,1030.6
106,55.55,57.7065,6.7e+06,926.97
107,57.35,64.0462,7.7e+06,813.01
108,59.85,65.3315,1.2e+07,1146.34
109,62.25,69.4066,8.0e+06,1695.94
110,64.75,64.3219,1.2e+07,758.67
111,66.9,63.932,1.4e+07,981.94
112,69.55,64.4005,1.4e+07,510.63
113,72.3,54.5237,8.9e+06,581.76
114,73.9,59.0134,1.7e+07,815.1
115,75.9,69.1557,1.5e+07,651.4
116,79,61.5255,9.0e+06,879.72
117,82.45,60.9127,1.4e+07,983.36
118,85.35,61.2792,1.2e+07,884.46
119,88.75,62.8265,1.6e+07,845.73
120,91.8,68.7479,1.9e+07,666.22
121,94.8,61.3382,1.7e+07,659.26
122,98.15,61.0355,1.8e+07,594.15
123,101.45,68.1066,1.5e+07,700.94
124,105.95,70.0082,1.8e+07,463.94
125,110.2,64.8187,1.6e+07,473.61
126,113.15,71.6389,1.5e+07,719.33
127,117.9,66.2408,1.1e+07,447.94
128,121.55,69.6207,2.1e+07,675.26
129,125.85,64.3209,1.9e+07,333.67
130,130.05,66.8186,2.7e+07,665.04
131,133.7,66.0696,1.7e+07,429.46
132,138.65,66.5572,2.7e+07,328.61
133,144.7,64.2728,2.1e+07,455.04
134,151.2,66.9859,2.8e+07,384.01
135,157.6,66.3122,2.4e+07,414.11
136,165.65,61.605,2.9e+07,182.94
137,173.7,80.6828,4.4e+07,255.2
138,180.7,69.5774,2.8e+07,347.94
139,186.45,71.5551,3.4e+07,301.89
140,197.5,78.4909,3.5e+07,326.68
141,204.95,68.2653,2.6e+07,296.26
142,212,69.3084,3.3e+07,305.19
143,218.8,71.2268,3.4e+07,304.75
144,227.6,64.8968,3.0e+07,223.97
145,239.15,73.4897,3.8e+07,228.16
146,248.9,71.7416,3.9e+07,919.19
147,259.25,70.8864,5.4e+07,205.26
148,269.85,77.9343,5.0e+07,246.75
149,285.6,83.1007,5.0e+07,251.53
150,301.75,72.9449,6.5e+07,227.17
151,319.65,75.8073,7.4e+07,197.73
152,337.7,74.5912,4.9e+07,157.79
153,359.35,76.1838,7.4e+07,117.67
154,381.4,76.0543,5.1e+07,222.8
155,404.2,73.1959,6.4e+07,170.85
156,426.2,79.6057,6.5e+07,184.69
157,458.25,82.6121,1.4e+08,206.15
158,486.95,81.0088,1.0e+08,134.7
159,524.85,71.5739,1.1e+08,96.54
160,567.85,77.0967,1.1e+08,148.19
161,620.95,82.6672,1.6e+08,90.47
162,653.4,79.7424,1.5e+08,102.33
163,717.7,83.0365,1.3e+08,108.16
164,782,81.8226,2.4e+08,109.92
165,834.35,89.0899,2.3e+08,63.71
166,891.15,86.372,1.8e+08,55.02
167,959.4,82.5093,1.8e+08,57.91
168,1040.85,82.1997,2.0e+08,51.61
169,1122.55,90.8185,2.9e+08,52.47
170,1220.55,94.4208,2.5e+08,48.41
171,1331,88.3701,2.1e+08,61.52
172,1482.3,77.6371,3.3e+08,50.94
173,1613.75,85.1869,3.2e+08,54.47
174,2003.6,86.1727,3.3e+08,49.4
175,2548.45,85.6733,3.9e+08,50.07
176,4914.9,97.9815,1.3e+09,44.19
177,15792.3,103.759,4.8e+09,8.64
